"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AT3G48410"	1.07264846932133	4.32195880850297	7.45205392686711	2.75227679433547e-07	0.000126126075705634	7.03133055198742
"AT1G65060"	-1.58736757205562	4.99197442095701	-7.4390671494003	2.82680124982736e-07	0.000126785043290129	6.99413322429829
"AT1G13670"	1.15122195860702	4.95068763376808	7.33266949633984	3.52150433227702e-07	0.000154652731925832	6.78143261404641
"AT5G11150"	0.849372513897586	4.15045406794109	7.31069701704634	3.6856889948186e-07	0.000155986050443271	6.7492776987401
"AT5G49645"	1.0289883555785	4.63370901849539	7.30410614166623	3.73646168902425e-07	0.000155986050443271	6.7325199064967
"AT3G07650"	1.35666684357602	3.75453431754415	7.29931071327386	3.77385605911141e-07	0.000155986050443271	6.71135915100739
"AT3G45860"	-1.79961901901314	0.692647386103314	-7.21544816786129	4.4940121963007e-07	0.000182180340573113	5.71159982454744
"AT3G44326"	-1.51932358359329	3.8559538775975	-7.19953822637065	4.64590296561524e-07	0.000184784216066357	6.52474792578162
"AT4G36180"	1.26195060235988	6.40346577830633	7.17545478984366	4.88596421811682e-07	0.000189738748016838	6.42408718716776
"AT4G28100"	0.818724241393769	4.57468056142754	7.16918928774343	4.95048915603704e-07	0.000189738748016838	6.46296213626176
"AT4G21960"	0.703518659623683	10.4674787857034	7.15173965834764	5.13486224882792e-07	0.00019130107491642	6.38238305357474
"AT3G52920"	0.563732498093043	5.80924762298394	7.1482337022217	5.17275202572862e-07	0.00019130107491642	6.37353863607302
"AT3G27870"	1.00606389681205	3.65865461553486	7.13843526714498	5.28018148243976e-07	0.000191591555815341	6.39265926213068
"AT2G45660"	1.90633059856249	3.04908610080569	7.13107562209459	5.36238225479369e-07	0.000191591555815341	6.26652469693938
"AT4G31450"	-0.96608454452245	5.94992347017106	-7.09602398685197	5.77235973723099e-07	0.000197925728592871	6.26589640421911
"AT2G21660"	1.4766680883977	8.48406083289528	7.07555513385936	6.026575898309e-07	0.000197925728592871	6.2122873403336
"AT5G48880"	-1.47609878679373	5.0372602597246	-7.07470038212941	6.03743914041045e-07	0.000197925728592871	6.24549252086018
"AT5G07000"	-1.44003617394243	3.43191116562763	-7.07157710761428	6.07730538416257e-07	0.000197925728592871	6.25036733405015
"AT3G48690"	-1.07320541692176	6.69516345897781	-7.06995457019842	6.0981227757429e-07	0.000197925728592871	6.20118930434421
"AT3G15810"	-0.571391162910564	6.06143969490261	-7.06957347388053	6.10302294048227e-07	0.000197925728592871	6.20479777079213
"AT3G17609"	0.759911939161651	5.18515780748115	7.04496927779392	6.42812628660349e-07	0.000201163487158102	6.18173906690299
"AT2G33620"	1.56501460682765	4.31534175513695	7.04059025606559	6.48783221128713e-07	0.000201163487158102	6.20283077202958
"AT5G27670"	0.907600447292555	5.74101834466623	7.03421864276211	6.57572811685544e-07	0.000201163487158102	6.14387673694903
"AT1G63410"	1.26790489001457	2.52282774970751	7.03358231185365	6.58457334625668e-07	0.000201163487158102	6.04794168131711
"AT1G15550"	-1.18796096621967	5.54313361533237	-7.0242695973317	6.71543452075101e-07	0.000202230513853473	6.12494663544348
